puzzle_id,fen,rating,phase,fullmove_number,moves,rating_deviation,popularity,nb_plays,themes,piece_count,major_pieces,difficulty,phase_source,heuristic_phase
qdOqO,1Br2rk1/pp1n1p1p/1q6/5N2/1P1Pp3/2P5/P5PP/2R1Q1K1 b - - 0 24,1434,middlegame,24,c8b8 e1g3 b6g6 f5e7 g8g7 e7g6,74,96,8949,middlegame,21,10,medium,theme,middlegame
WZrfo,1r1q1n1k/p5pp/1p2r3/2bBP2Q/2Pp4/4P3/PP3P1P/3R2RK b - - 7 23,1887,middlegame,23,e6h6 h5h6 d8d5 c4d5,74,93,1092,middlegame,23,11,hard,theme,middlegame
4HKdT,rn2k1nr/pp3ppp/8/q1PpPb2/1b6/1QN2N2/PP3PPP/R1B1KB1R w KQkq - 1 10,1838,opening,10,f1b5 a5b5 f3d4 b4c3 b2c3 b5b3,74,93,5146,advantage discoveredattack long middlegame pin,29,16,hard,heuristic,opening
PHbbB,r3kb1r/p2p1pp1/1p2p1qp/3bPn2/2N5/2P1PN2/PP3PPP/R2QKB1R w KQkq - 5 12,1645,opening,12,f1d3 g6g2 h1g1 g2f3 d1f3 d5f3,74,95,2222,crushing long opening,29,14,medium,heuristic,opening
dyz6y,r2q2nr/ppp1nkp1/1b1Pb2p/4p3/2B5/5Q2/PP3PPP/RNB1K2R b KQ - 2 12,1813,opening,12,e7f5 f3f5 d8f6 c4e6,74,87,299,crushing middlegame pin short,27,15,hard,heuristic,opening
VH6y6,r1b1kbnr/pp3ppp/8/1P1qp3/3n4/5N2/2PP1PPP/RNBQKB1R w KQkq - 1 8,1825,opening,8,b5b6 d5e4 f1e2 d4c2 e1f1 c2a1,74,96,8073,crushing fork long opening,28,16,hard,heuristic,opening
TRyjx,2k1r3/3p1R2/1pb5/2n4r/p1P2B2/P1P2NP1/2B2KPp/7R w - - 2 27,1645,middlegame,27,c2d1 c5d3 f2f1 c6f3 f7f8 e8f8,74,87,334,middlegame,20,11,medium,theme,middlegame
zePJp,r2qk2r/2p1bppp/p1npbn2/1p6/3pP3/1BN2N1P/PPP2PP1/R1BQ1RK1 w kq - 0 10,1691,opening,10,f3d4 c6d4 d1d4 c7c5 d4e3 c5c4,73,94,5263,crushing long opening,31,16,medium,heuristic,opening
IfREB,6k1/5bpp/R7/4p3/P1p1P1PP/3n1P2/6K1/8 b - - 0 42,1615,endgame,42,c4c3 a6a8 f7e8 a8e8 g8f7 e8c8,74,90,738,endgame,14,5,medium,theme,endgame
yho6k,r4r1k/pb2R3/1p1p3q/2p5/5nQ1/3B2NN/PP4PK/8 b - - 0 29,1641,middlegame,29,b7g2 e7h7 h6h7 d3h7 g2h3 g4h4,74,94,3268,middlegame,19,12,medium,theme,middlegame
EAyAu,r5k1/pp4pn/7p/3pR3/1q1P4/2N5/PP4PP/5QK1 w - - 1 20,1226,endgame,20,c3d5 b4d4 e5e3 d4d5,74,99,1250,endgame,18,8,easy,theme,middlegame
ftGef,2k2r2/3n1p2/2p4p/ppb2np1/4N3/1BP5/PP4PP/1KBR4 b - - 1 25,1792,middlegame,25,f5e3 d1d7 c8d7 e4c5 d7c8 c1e3,74,87,199,middlegame,21,10,hard,theme,middlegame
2tw5C,6k1/5R2/3p3Q/2pPb3/1p2P1q1/6Pp/1r5P/4R2K b - - 0 37,1717,endgame,37,g8f7 e1f1 e5f4 f1f4 g4f4 h6f4,74,94,1390,endgame,16,8,hard,theme,middlegame
tbpX1,rnbqk2r/ppp2ppp/1n2p3/4N3/1bPP4/2N2Q2/PP3PPP/R1B1KB1R b KQkq - 2 8,1290,opening,8,f7f6 f3h5 g7g6 e5g6 h7g6 h5h8,74,94,19281,crushing long middlegame,30,16,easy,heuristic,opening
dVA38,6k1/5p2/R5pp/1p2r3/6P1/N2B4/rPP3PK/8 w - - 0 33,1484,endgame,33,d3b5 e5b5 a3b5 a2a6,74,94,200,endgame,15,7,medium,theme,middlegame
qu8xE,r2q4/1p4kp/3pQ1p1/3PbpN1/p7/6P1/4B1KP/8 b - - 3 32,1478,endgame,32,d8f6 e6d7 g7f8 g5h7 f8g8 h7f6,74,87,445,endgame,17,8,medium,theme,middlegame
SwdLK,4Q3/2q4p/5rRk/p2PN3/4P3/7P/P6K/8 b - - 0 35,1565,endgame,35,h7g6 e8h8 h6g5 h3h4 g5f4 h8f6,74,97,6204,endgame,13,7,medium,theme,middlegame
WFVrJ,r4rk1/p1p2pp1/2pp1n1p/2b5/4P1q1/2NB4/PPPB1PP1/R3QR1K w - - 0 14,1410,middlegame,14,e1e2 g4h4 h1g1 f6g4,74,96,7377,middlegame,26,13,medium,theme,middlegame
zTArH,r1b1kbnr/pp2pppp/2P5/8/Q1B5/2P5/PP3P1P/RNB1K1Nq b Qkq - 0 8,1242,opening,8,h1c6 c4b5 c8d7 b5c6,74,96,3580,opening,26,14,easy,theme,opening
LeEft,r1bq1rk1/ppp1bppp/5n2/3Nn3/2Q5/4P3/PPPP1PPP/R1B1KBNR w KQ - 5 9,1563,opening,9,c4d4 d8d5 d4d5 f6d5,74,88,155,opening,30,16,medium,theme,opening
VnCUu,rn4nr/ppp2kpp/1b6/3QPq2/6b1/5N2/PP3PPP/RNB2RK1 b - - 1 11,1259,opening,11,f5e6 f3g5 f7e7 g5e6,74,65,218,crushing fork opening short,26,15,easy,heuristic,opening
P3239,4Q3/pp3Npk/1np4p/5q2/8/1P6/P4PP1/6K1 b - - 0 31,1237,endgame,31,f5d7 e8h8 h7g6 f7e5 g6f5 e5d7,74,83,196,endgame,15,6,easy,theme,middlegame
rm74I,rn3rk1/ppp2ppp/4bn2/4N3/1bPP4/2N1BQ2/PPq2PPP/R3KB1R w KQ - 7 10,1164,opening,10,f3e2 b4c3 b2c3 c2c3 e2d2 c3a1,74,99,2174,opening,29,16,easy,theme,opening
GzBjh,4r1k1/pppq1p1p/3p2pB/4bbQ1/4r3/3B4/PPP3PP/4RR1K b - - 10 27,1736,middlegame,27,e4g4 d3f5 d7f5 f1f5 g4g5 f5g5,74,93,911,middlegame,24,12,hard,theme,middlegame
iRDpl,rqb1kb1r/p3pppp/2p5/4P3/6n1/2N5/PPP1Q1PP/R1B1KB1R w KQkq - 3 11,1283,opening,11,c1f4 b8b2 a1d1 b2c3 e2d2 c3d2,74,82,128,crushing exposedking fork long opening,26,14,easy,heuristic,opening
hDdZp,r4rk1/1p3p1p/5Qp1/p6P/1qb1P3/2N2P2/PP4P1/2K2B1R b - - 0 18,1412,middlegame,18,c4f1 h5h6 b4d4 f6d4,74,96,8337,middlegame,21,10,medium,theme,middlegame
HnTaS,r3k2r/pppq1ppp/2nbpn2/3pNb2/3P4/2PBP1B1/PP3PPP/RN1QK2R b KQkq - 7 8,1288,opening,8,c6e5 d4e5 d6e5 g3e5,74,87,1091,advantage fork middlegame short,32,16,easy,heuristic,opening
dBDB1,2q3k1/5pp1/p3p2p/bp1pP3/2nP4/P4NP1/1P3P1P/1NQ2K2 w - - 4 28,1699,endgame,28,b2b3 c4d2 c1d2 a5d2,74,89,546,endgame,22,8,medium,theme,middlegame
wwccr,r1b1kbnr/p2p1ppp/1pp2q2/4p3/2B1P3/2N1Q3/PPPP1PPP/R1B2RK1 w kq - 0 8,1166,opening,8,f2f4 f8c5 e3c5 b6c5,74,95,19859,crushing opening pin short,30,14,easy,heuristic,opening
D4FKG,r1bq1rk1/ppp2pp1/1b3n1p/8/3N4/2PQ4/P1B3PP/RN3RK1 b - - 2 18,1271,opening,18,c7c5 f1f6 f8e8 d3h7,73,94,7559,opening,24,14,easy,theme,middlegame
6Cp0l,r1b1k1nr/pp1p1ppp/4pq2/2b1n3/4P3/P1N2N2/1PP2PPP/R1BQKB1R w KQkq - 1 7,1280,opening,7,c1g5 e5f3 d1f3 f6g5,74,95,4203,advantage opening short,30,16,easy,heuristic,opening
LUbSX,4r1k1/n1q2ppp/1p3bb1/3Q4/8/1NP2NPP/PP3PB1/R5K1 w - - 1 23,1713,middlegame,23,a1d1 e8d8 d5d8 f6d8,74,96,3533,middlegame,22,12,hard,theme,middlegame
ZPStv,r2qk1nr/ppp2pb1/2np2p1/7p/3PP2P/1Q2BB2/PP3PP1/RN2K2R b KQkq - 0 10,1742,opening,10,c6d4 e3d4 g7d4 b3a4 c7c6 a4d4,74,96,3408,opening,28,14,hard,theme,opening
Dt21j,rnbq1rk1/p2pbpp1/1pp2n1p/6B1/2PQP2P/2NB1N2/PP3PP1/R3K2R b KQ - 1 9,1727,opening,9,h6g5 h4g5 e7c5 d4e5,74,80,272,advantage middlegame short,30,16,hard,heuristic,opening
6Z5Kh,4k3/7p/1p2b3/p2qN3/7P/4R1B1/5PPK/8 b - - 7 43,1259,endgame,43,e8d8 e3d3 d5d3 e5d3,74,95,4595,endgame,13,7,easy,theme,endgame
GV93W,r2qk1nr/p1p1bpp1/1pn1b2p/3p2P1/7P/1Q6/PPP1PPB1/RNB1K1NR w KQkq - 0 9,1390,opening,9,b3c3 e7b4 c1d2 b4c3,74,77,170,crushing opening pin short,30,16,medium,heuristic,opening
ZaNqg,r5k1/ppp1qppp/5n2/2r5/8/2BQP3/PP3PPP/1K1R3R b - - 0 19,1241,middlegame,19,c5d5 c3f6 d5d3 f6e7 d3d1 h1d1,74,95,5121,middlegame,22,10,easy,theme,middlegame
liOfh,1r2r1k1/p4ppp/q4n2/8/3Q1N2/2BP2PP/bPP2P2/R4RK1 w - - 4 21,1262,middlegame,21,d4c4 a2c4 a1a6 c4a6,74,74,183,middlegame,22,12,easy,theme,middlegame
lVsqN,2k5/ppp3Qp/4p3/5r2/1b3r2/5P2/1PP3PP/R5K1 w - - 0 20,1201,endgame,20,a1a7 b4c5 g1f1 c5a7,74,99,2151,endgame,17,7,easy,theme,middlegame
oHk0K,r1bqk2r/pp1pnpp1/3Q2np/4p3/4P3/5N2/PPP2PPP/R1B1KB1R w KQkq - 1 10,1294,opening,10,f3e5 d8a5 b2b4 a5e5 d6e5 g6e5,74,96,609,advantage long opening,28,14,easy,heuristic,opening
gyjSF,4r1k1/1p3ppp/2np1n2/p7/5P2/1NP2PP1/PP1Br2P/R4RK1 w - - 0 17,1857,middlegame,17,a1e1 a5a4 e1e2 e8e2 f1d1 a4b3,73,96,1778,middlegame,23,10,hard,theme,middlegame
y0Iub,r5k1/1bq2pp1/pp4rp/3pbN2/1P3P1B/P2Q3P/N1Pn2P1/1R3RK1 b - - 4 23,1539,middlegame,23,d2b1 f5e7 c7e7 h4e7,74,90,482,middlegame,26,14,medium,theme,middlegame
JioCs,2r2rk1/1p3pp1/pq1p1b1p/3Pp3/1P2P1b1/P1NQ1N2/5PPP/2R2RK1 b - - 0 17,1232,middlegame,17,c8c7 c3a4 c7c1 a4b6,74,92,1382,middlegame,26,12,easy,theme,middlegame
TdTfW,r4rk1/pb4pp/1p2p3/3pP1q1/3Pp3/2P5/PPQ3PP/R3RNK1 w - - 0 17,1185,middlegame,17,c2d2 f8f1 e1f1 g5d2,74,89,383,middlegame,24,10,easy,theme,middlegame
NM1X5,2k5/1p4r1/p3pqr1/2p5/P1P1Rp2/1R3Q1P/5PP1/6K1 w - - 3 36,1658,endgame,36,e4f4 g6g2 f3g2 g7g2 g1g2 f6f4,74,96,4080,endgame,18,8,medium,theme,middlegame
8tLp9,r3kb1r/1pq1nppp/p1n1p3/3pN3/3P1B2/P1NQ4/1PP2PPP/R3K2R b KQkq - 4 11,1789,opening,11,e7f5 e5g6 c7b6 g6h8,74,93,3220,advantage middlegame short,28,14,hard,heuristic,opening
Kx4wT,r5k1/pR4bp/6p1/2B2pP1/3p1P2/1P1P1K1P/1r6/R7 b - - 1 28,1885,endgame,28,a8e8 b7g7 g8g7 c5d4 g7g8 d4b2,74,87,407,endgame,18,8,hard,theme,middlegame
IBKv4,r1bqk2r/1p2bpp1/p2ppn1p/2n5/3NPP1B/2N1Q3/PPP1B1PP/R3K2R b KQkq - 2 11,1784,opening,11,f6e4 h4e7 d8e7 c3e4,74,86,789,advantage intermezzo middlegame short,30,16,hard,heuristic,opening
UYdtc,r1b1k2r/ppp1qppp/2nb4/3Bp3/8/4PNP1/PPQP1P1P/R1B1K2R b KQkq - 0 9,1128,middlegame,9,c8e6 d5c6 b7c6 c2c6 e7d7 c6a8,74,100,1196,middlegame,28,14,easy,theme,opening
kh28O,5r1k/2b2q1p/2p4P/1rP1p1p1/3pP1p1/3P1bB1/3Q1P1R/5RK1 b - - 5 40,1203,middlegame,40,c7a5 g3e5 h8g8 d2g5 f7g6 g5g6 h7g6 h6h7,74,97,933,middlegame,22,11,easy,theme,endgame
4axAd,1k2r3/2p3bp/p3q1p1/1p6/3p2Q1/1P1P3P/PB3PP1/2R3K1 w - - 2 28,1659,endgame,28,g4f4 e6e1 c1e1 e8e1 g1h2 g7e5 f4e5 e1e5,74,92,379,endgame,20,8,medium,theme,middlegame
8R9EU,r1b1k2N/pppp2pp/2n5/4p3/2B4q/8/PPPP1n1P/RNB2QK1 w q - 2 11,1476,middlegame,11,c4b3 f2h3 f1h3 h4h3,74,84,255,middlegame,25,13,medium,theme,opening
L4fB4,r2q1rk1/pp2ppbp/2n1b1p1/1BPp4/3Pn3/P1N2N2/1P3PPP/R1BQ1RK1 w - - 1 11,1889,opening,11,c3e4 d5e4 b5c6 b7c6,74,89,207,advantage master opening short,30,16,hard,heuristic,opening
NtwVx,2r3k1/p6p/1p2p1p1/3pb1N1/P2q4/8/6PP/1Q3R1K b - - 1 34,1550,endgame,34,c8f8 f1f8 g8f8 g5e6 f8e7 e6d4,74,97,7907,endgame,17,8,medium,theme,middlegame
06skk,4k3/r1p5/5Kpp/2N2b2/2BR4/1Pr4P/8/8 b - - 2 32,1207,middlegame,32,c3f3 c4f7 e8f8 d4d8,74,100,1524,endgame mate matein2 short,13,8,easy,heuristic,middlegame
T2B6M,2k1r3/ppp2p2/8/2b1P1pp/8/2P2KBP/PP1r1PP1/R3R3 w - - 1 19,1743,endgame,19,e1e2 g5g4 h3g4 h5g4 f3g4 d2e2,74,95,3610,endgame,21,8,hard,theme,middlegame
IIahQ,4r2k/p1pp1PR1/8/2p2K1p/4b2P/2P5/PBP5/8 w - - 1 31,1243,endgame,31,f5f6 e8e6 f6g5 h8g7 f7f8q g7f8,74,97,2364,endgame,16,6,easy,theme,middlegame
cWtc6,rnb1k1nr/ppp1qppp/3b4/3P4/4p3/5N2/PPPPBPPP/RNBQ1RK1 w kq - 0 6,1795,opening,6,f3d4 e7e5 g2g3 e5d4,74,95,15748,advantage opening short,31,16,hard,heuristic,opening
fCAwx,r1bqk2r/pp1p1ppp/2n1pn2/8/4P3/4BN2/PPP2KPP/RN1Q1B1R w kq - 3 7,1866,opening,7,f1e2 f6g4 f2g3 g4e3,74,95,2511,opening,28,15,hard,theme,opening
etE9j,6R1/r4k2/5p2/5p2/5P1K/6P1/8/8 w - - 6 51,1908,endgame,51,g8h8 a7a1 g3g4 a1h1 h4g3 h1h8,74,77,144,endgame,8,4,hard,theme,endgame
Rqbbj,8/8/5k2/3P1P2/p3K3/8/8/8 w - - 0 59,1456,endgame,59,d5d6 a4a3 d6d7 f6e7 f5f6 e7d7 e4d3 a3a2,73,96,7984,endgame,5,2,medium,theme,endgame
FbYfT,5k2/1p3q2/p4r2/3pR3/2pQ4/2P4P/PP4P1/6K1 w - - 2 37,1842,endgame,37,d4d5 f6f1 g1h2 f7f4 g2g3 f1f2,74,93,1087,endgame,15,6,hard,theme,middlegame
Ce7Bj,r1b1kr2/pp2q1pp/1bnP4/8/2BP1Bn1/8/PPP3PP/RN1Q1RK1 b q - 0 12,1799,opening,12,b6d4 d1d4 c6d4 d6e7,74,87,404,opening,26,15,hard,theme,opening
RQUkI,r6k/pp3pbp/q3bNp1/4R1P1/8/1P2QP2/2P5/2KR4 w - - 1 32,1735,middlegame,32,e5e6 a6a1 c1d2 a8d8 d2e2 a1d1,74,91,1470,middlegame,19,10,hard,theme,middlegame
0egnd,r1b1rk2/pp1qn1pp/8/2QB2B1/8/2P3P1/PP3P1P/RN4K1 b - - 2 19,1087,middlegame,19,d7d5 g5e7 e8e7 c5d5,74,99,1206,middlegame,22,12,easy,theme,middlegame
lUOO1,8/5pk1/2r4p/7Q/3P1b2/2P5/1P3PK1/8 w - - 1 38,1230,endgame,38,h5g4 c6g6 g2f3 g6g4,74,95,2030,endgame,11,5,easy,theme,middlegame
7U4cZ,r4rk1/pp3pp1/4b3/6qp/3P4/1P1BPQ2/P4PPP/R4RK1 w - - 0 17,1475,middlegame,17,f3b7 e6d5 b7d5 g5d5,74,87,242,middlegame,22,10,medium,theme,middlegame
41VZV,r3k2r/pbpq1pbp/1pnp1np1/4p1B1/4P3/2PP2QP/PP1NBPP1/R3K1NR b KQkq - 3 10,1628,opening,10,e8c8 g5f6 g7f6 e2g4 c8b8 g4d7,73,95,24564,crushing long middlegame pin,32,16,medium,heuristic,opening
yCYHZ,2kr1bnr/pp2pppp/2n5/1Q1P4/2p2B2/2P1P3/P4PPP/qN2KBNR b K - 0 10,1632,middlegame,10,a7a6 b5b6 a1b1 b6b1,74,91,851,middlegame,28,14,medium,theme,opening
52Hay,8/1p6/p7/P6R/4kP1P/6P1/r3p3/4K3 w - - 0 45,1569,endgame,45,h5e5 e4f3 f4f5 a2a1 e1d2 a1d1,74,74,108,endgame,11,4,medium,theme,endgame
eIamZ,r2qk2r/p3npbp/2p1p1p1/3pNb2/Q2P1P2/2P5/PP4PP/RNB2RK1 w kq - 4 12,1981,opening,12,e5c6 d8d7 c6e7 d7a4,74,89,146,crushing middlegame short,28,14,hard,heuristic,opening
46WgA,r2qr1k1/pp2bbpp/5p2/3n4/6PN/7P/PP3PB1/R1BQR1K1 b - - 2 17,1474,opening,17,e7c5 e1e8 d8e8 g2d5 a8d8 d5f7,74,95,7774,opening,24,14,medium,theme,middlegame
zoqxz,3rR3/1p3P1p/8/6P1/2k5/7P/2p2P2/4K3 w - - 0 40,1804,endgame,40,f7f8q c2c1q e1e2 c1d1,74,92,2047,endgame,11,4,hard,theme,endgame
L4rTT,r1b1k2r/1pppnppp/pb3q2/3P4/8/1N1B4/PPP2PPP/R1BQ1RK1 w kq - 1 11,1752,opening,11,f1e1 b6f2 g1h1 f2e1,74,95,10492,advantage fork opening short,28,14,hard,heuristic,opening
kjNFx,4rk2/pp3ppQ/2pq3p/8/3P4/1P5P/P4PP1/3R2K1 b - - 4 30,1044,endgame,30,d6g6 h7h8 f8e7 d1e1 g6e6 e1e6,74,98,860,endgame,18,6,easy,theme,middlegame
S7Tqa,5r2/p7/3k4/2Np3p/1P1P2bP/6P1/P5K1/3R4 w - - 2 40,1280,endgame,40,d1f1 g4h3 g2h3 f8f1,74,97,6664,endgame,14,6,easy,theme,endgame
o1OJV,r5k1/pp3pp1/2p2pp1/8/3q1PQ1/1PN1n3/P5PP/R4R1K w - - 2 22,1621,middlegame,22,c3e2 d4a1 f1a1 e3g4,74,83,400,middlegame,21,9,medium,theme,middlegame
kkW8M,4r1k1/p1q1rp1p/1p1p1Qp1/2nB2P1/2P5/1P5P/P5K1/4RR2 b - - 4 30,1830,middlegame,30,c5e4 e1e4 e7e4 d5f7 c7f7 f6f7,74,96,3529,middlegame,21,10,hard,theme,middlegame
LyOqz,r2qk2r/pbpn1pp1/1p1b1n1p/3Np3/2P1P3/3B1N1P/PP3PP1/R1BQR1K1 w kq - 2 12,1338,opening,12,f3h4 f6d5 c4d5 d8h4,74,96,15844,advantage discoveredattack opening short,30,16,medium,heuristic,opening
B9vNP,3rr3/p7/kn5p/n1Rp1q2/6p1/Q2P4/1P5P/1K1R4 b - - 3 38,1833,middlegame,38,d8b8 c5a5 a6b7 a5a7,74,80,140,middlegame,17,10,hard,theme,middlegame
6NSYf,6k1/1pb1Qpp1/7p/p2r4/8/P1Nq4/1P3PPP/5R1K w - - 2 28,1795,endgame,28,f1e1 d5e5 e7e5 c7e5,74,96,4198,endgame,18,8,hard,theme,middlegame
ITwPe,8/p7/1p2k3/1P3p1p/P2K1p2/5P2/6PP/8 w - - 0 41,1358,endgame,41,g2g3 f4g3 h2g3 f5f4,74,85,350,endgame,12,2,medium,theme,endgame
cdZqJ,r2q1br1/pp2k1pp/2p5/4p3/4P3/2NP1P1b/PPP4P/R1BQ1RK1 b - - 0 12,1246,opening,12,h3f1 c1g5 e7d7 g5d8,74,100,256,advantage middlegame short skewer,25,12,easy,heuristic,opening
oL7N4,B4rk1/p4p1p/1p1Rp1p1/2p1q3/6Q1/6P1/P1P1bP1P/3R2K1 w - - 0 20,1259,middlegame,20,g4f4 e5f4 g3f4 e2d1 d6d1 f8a8,74,99,3459,middlegame,21,9,easy,theme,middlegame
zU4aJ,r2qkbnr/ppp1pppp/8/4N3/1PB3b1/4P3/P2P1PPP/RNBQK2R b KQkq - 0 6,1089,opening,6,g4d1 c4f7,74,97,1708,attackingf2f7 mate matein1 onemove opening,29,15,easy,heuristic,opening
of6hY,1r4k1/2p2pp1/8/8/8/4Q2P/2P2PPq/3R1K2 w - - 6 39,1191,endgame,39,e3g3 h2h1 f1e2 b8e8 e2d2 e8d8 g3d3 d8d3,74,89,117,endgame,13,6,easy,theme,middlegame
QzOv6,5k2/1qpQ1pr1/1p5p/p4R2/8/2P1r1P1/P6P/5RK1 b - - 1 26,1881,endgame,26,e3g3 h2g3 g7g3 g1f2 b7g2 f2e1 g3e3 e1d1 g2e2 d1c1 e3c3 c1b1 e2d3 d7d3,74,85,237,endgame,17,8,hard,theme,middlegame
adcry,2r2n2/ppp2k1p/4Rpp1/3p1P2/1q1P3N/1P2Q3/P1P3PP/6K1 w - - 1 25,2012,endgame,25,f5g6 h7g6 c2c3 b4a3 e6f6 f7f6,74,96,355,endgame,22,8,hard,theme,middlegame
QjK1A,r2q3r/ppp2kpp/2n2n2/4B3/1b1P2b1/2N2N2/PPP3PP/R2Q1RK1 b - - 0 11,1537,opening,11,c6e5 f3e5 f7e7 e5g4,74,84,169,advantage middlegame short,26,15,medium,heuristic,opening
doA3J,r6k/1pp2rpp/1b1p4/p1nPp3/P1P2q1B/2Q3N1/1P4PP/R4R1K b - - 3 22,1521,middlegame,22,c5e4 f1f4 f7f4 g3e4,74,89,429,middlegame,25,12,medium,theme,middlegame
Fyx4R,4r1k1/p1p3p1/2Q3p1/2P1b3/4p3/4Bq2/P1P2P2/5K1R b - - 3 30,1631,endgame,30,e8d8 c6e6 f3f7 h1h8 g8h8 e6f7,74,92,505,endgame,17,8,medium,theme,middlegame
Qj8Vc,r6r/2q1kppp/p2bp3/1p6/4Qn2/1PN5/1P3PPP/R2R2K1 b - - 2 19,1025,middlegame,19,f4g6 c3d5 e7f8 d5c7,74,99,897,middlegame,22,11,easy,theme,middlegame
vSFJB,r3r1k1/2q3pp/pp3p2/3Pn2Q/2P1NP2/3p2P1/P6P/4RRK1 b - - 1 24,1180,middlegame,24,e5c4 e4f6 g7f6 e1e8 a8e8 h5e8,74,95,1120,middlegame,22,10,easy,theme,middlegame
