puzzle_id,fen,rating,phase,fullmove_number,moves,rating_deviation,popularity,nb_plays,themes,piece_count,major_pieces,difficulty,phase_source,heuristic_phase
vG2qf,r1b1kb1r/p4ppp/2p1pn2/qpP5/8/P1P2P2/1P4PP/R1BQKBNR b KQkq - 0 12,1239,opening,12,f8c5 b2b4 c5b4 c3b4,73,95,11045,advantage fork opening short,28,14,easy,heuristic,opening
g2Gyq,r2q1b1r/ppp2kpp/2np4/6B1/3Pn1b1/5N2/PPP3PP/RN1Q1RK1 b - - 1 9,1249,opening,9,e4g5 f3g5 f7g8 d1g4,74,97,6564,crushing discoveredattack discoveredcheck doublecheck opening short,27,15,easy,heuristic,opening
J67c2,r2qk2r/pp3ppp/2pbp3/n3N3/3P1B2/2PP4/P4PPP/R2Q1RK1 b kq - 3 12,1247,opening,12,f7f6 d1h5 g7g6 e5g6 h7g6 h5h8,74,95,6924,crushing long middlegame,26,12,easy,heuristic,opening
IIaJV,r3kb1r/pp1npppp/2pp1n2/q5B1/2PP2b1/2N1PN2/PP2BPPP/R2QK2R w KQkq - 3 8,1197,opening,8,e1g1 g4f3 e2f3 a5g5,74,95,9860,advantage capturingdefender master middlegame short,32,16,easy,heuristic,opening
WNFIP,r2qk2r/pb2bppp/1p2pn2/8/Q2P4/3B1N1P/PP3PP1/R1B2RK1 b kq - 2 12,1201,opening,12,d8d7 d3b5 a7a6 b5d7,74,98,470,advantage middlegame pin short,26,14,easy,heuristic,opening
lWlc4,r1bq1rk1/ppppp1b1/2n3pp/1B1NPpBn/3P4/5N2/PPP2PPP/R2QK2R w KQ - 0 9,1068,opening,9,g5e7 c6e7 d5e7 d8e7,74,96,5911,advantage opening short,32,16,easy,heuristic,opening
PvaFo,r1b1k1nr/ppp2ppp/2n5/2b1N1B1/2B1q3/8/PP3PPP/R2Q1RK1 b kq - 0 11,1118,opening,11,c6e5 d1d8,74,100,279,mate matein1 onemove opening,26,15,easy,heuristic,opening
ych0S,r2qk2r/p1p2ppp/1p1b1n2/2p1p3/4P3/1QPb3P/PP1N1PPN/R1B1R1K1 b kq - 1 13,1295,opening,13,d3a6 b3a4 d8d7 a4a6,74,96,6703,opening,29,14,easy,theme,middlegame
Oibbn,rn1qkbnr/1b3ppp/p3p3/1p2N3/2pPp3/2P5/PPB2PPP/RNBQK2R b KQkq - 1 9,1258,opening,9,f7f6 d1h5 g7g6 e5g6 h7g6 h5h8,74,95,13327,advantage long opening trappedpiece,31,16,easy,heuristic,opening
wGVNx,r2qkbnr/1b1p1ppp/p3p3/1pp5/3nP3/1BNP1N2/PPP2PPP/R1BQK2R w KQkq - 2 8,1162,opening,8,c1g5 d4f3 d1f3 d8g5,74,95,6292,crushing opening short,32,16,easy,heuristic,opening
